time,open,high,low,close,NV
2023-04-02T16:00:00Z,28137.6,28157.16,27950.59,28131.93,-1340.88925442
2023-04-02T17:00:00Z,28134.59,28241.75,28125.9,28209.27,670.78724361
2023-04-02T18:00:00Z,28208.57,28231.7,28170.12,28179.24,-336.10546249
2023-04-02T19:00:00Z,28176.54,28190.37,27872.3,27963.32,-1242.50937992
2023-04-02T20:00:00Z,27959.86,28100.03,27922.14,28075.11,765.02907984
2023-04-02T21:00:00Z,28074.25,28167.98,28003.54,28032.89,-824.49781637
2023-04-02T22:00:00Z,28030.83,28123.64,27871.9,28114.78,1496.29952068
2023-04-02T23:00:00Z,28119.61,28216.1,28057.14,28188.96,1017.12045832
2023-04-03T00:00:00Z,28187.21,28195.13,28079.37,28124.44,-669.7946727
2023-04-03T01:00:00Z,28122.09,28154.44,27582.03,27721.9,-2124.51474785
2023-04-03T02:00:00Z,27714.47,27827.17,27679.93,27731.66,992.74969052
2023-04-03T03:00:00Z,27728.74,27792.83,27638.4,27766.72,674.42613091
2023-04-03T04:00:00Z,27766.79,27770.17,27603.89,27712.7,-657.5969361
